hazard_probability,attributable_fraction,preferred_action,Stay,Investigate,Relocate
0.9500000000000001,0.9,Stay,0.0,-0.25,-131.46707610852252
0.9500000000000001,0.9500000000000001,Stay,0.0,-0.25,-129.68634435858812
0.9500000000000001,1.0,Stay,0.0,-0.25,-127.90561260865374
1.0,0.0,Stay,0.0,-0.25,-163.5202476073416
1.0,0.05,Stay,0.0,-0.25,-161.64579313372644
1.0,0.1,Stay,0.0,-0.25,-159.7713386601113
1.0,0.15000000000000002,Stay,0.0,-0.25,-157.89688418649615
1.0,0.2,Stay,0.0,-0.25,-156.02242971288098
1.0,0.25,Stay,0.0,-0.25,-154.14797523926583
1.0,0.30000000000000004,Stay,0.0,-0.25,-152.2735207656507
1.0,0.35000000000000003,Stay,0.0,-0.25,-150.39906629203554
1.0,0.4,Stay,0.0,-0.25,-148.5246118184204
1.0,0.45,Stay,0.0,-0.25,-146.65015734480525
1.0,0.5,Stay,0.0,-0.25,-144.7757028711901
1.0,0.55,Stay,0.0,-0.25,-142.90124839757493
1.0,0.6000000000000001,Stay,0.0,-0.25,-141.0267939239598
1.0,0.65,Stay,0.0,-0.25,-139.15233945034464
1.0,0.7000000000000001,Stay,0.0,-0.25,-137.2778849767295
1.0,0.75,Stay,0.0,-0.25,-135.40343050311435
1.0,0.8,Stay,0.0,-0.25,-133.5289760294992
1.0,0.8500000000000001,Stay,0.0,-0.25,-131.65452155588403
1.0,0.9,Stay,0.0,-0.25,-129.78006708226889
1.0,0.9500000000000001,Stay,0.0,-0.25,-127.90561260865374
1.0,1.0,Stay,0.0,-0.25,-126.0311581350386
