Stay,Investigate,Relocate
0.0,-0.25,-171.44153190876614
0.0,-0.25,-163.90269314991826
0.0,-0.25,-139.9467396707743
0.0,-0.25,-152.5479886727561
0.0,-0.25,-181.36045364853612
0.0,-0.25,-157.88796655839113
0.0,-0.25,-152.59959044498478
0.0,-0.25,-155.0465390300129
0.0,-0.25,-182.37730861871034
0.0,-0.25,-183.15805686986346
0.0,-0.25,-149.18899236855236
0.0,-0.25,-145.952077389634
0.0,-0.25,-152.460849976372
0.0,-0.25,-176.88307524200326
0.0,-0.25,-168.461419134963
0.0,-0.25,-139.98433599690603
0.0,-0.25,-163.54795503288747
0.0,-0.25,-146.09608027715598
0.0,-0.25,-173.19005891893383
0.0,-0.25,-163.72825771598008
0.0,-0.25,-163.9028351911237
0.0,-0.25,-169.322148936529
0.0,-0.25,-178.78356790657605
0.0,-0.25,-171.20436401054454
0.0,-0.25,-146.10841475139642
0.0,-0.25,-169.89177492503296
0.0,-0.25,-158.68340885904087
0.0,-0.25,-191.93846004351087
0.0,-0.25,-131.95218634703804
0.0,-0.25,-175.22971181292073
0.0,-0.25,-180.79032876539986
0.0,-0.25,-164.72455323696755
0.0,-0.25,-187.86176967143953
0.0,-0.25,-173.01455749190507
0.0,-0.25,-143.664758636354
0.0,-0.25,-166.61058809518855
0.0,-0.25,-163.9784521234716
0.0,-0.25,-162.45379038781124
0.0,-0.25,-157.02432693644636
0.0,-0.25,-188.30865849681345
0.0,-0.25,-163.0946205919755
0.0,-0.25,-158.59692557442835
0.0,-0.25,-157.18319382471716
0.0,-0.25,-143.1849913771674
0.0,-0.25,-173.81241058449646
0.0,-0.25,-166.32610987750112
0.0,-0.25,-171.3741418361661
0.0,-0.25,-154.01347868711343
0.0,-0.25,-163.63635366559257
0.0,-0.25,-168.1902605462453
0.0,-0.25,-133.4118187766166
0.0,-0.25,-154.34908827751886
0.0,-0.25,-141.91003033150614
0.0,-0.25,-162.75246525854604
0.0,-0.25,-149.1220749414412
0.0,-0.25,-157.13842873359815
0.0,-0.25,-194.912841154195
0.0,-0.25,-150.94230859470997
0.0,-0.25,-147.2580164519021
0.0,-0.25,-150.70584798082953
0.0,-0.25,-165.9226346270484
0.0,-0.25,-176.55970408822276
0.0,-0.25,-185.49802150064502
0.0,-0.25,-184.29861372064326
0.0,-0.25,-153.2354845003511
0.0,-0.25,-196.52129321963517
0.0,-0.25,-187.24069954448944
0.0,-0.25,-184.46259709703588
0.0,-0.25,-175.65685526513622
0.0,-0.25,-142.71833518494444
0.0,-0.25,-166.68250720681397
